MEDIENNR;VERFASSERIN;TITEL;MEDIENGRUPPE;SYSTEMATIK;ANZAHL_AUSLEIHEN;ANZAHL_TITEL
1117036;Steffensmeier, Alexander;Schläfst du schon, Lieselotte?;Buch;JD.K;298;25
1198285;Wood, Barbara;Im Auge der Sonne;Buch;DR.H;298;39
1195473;Fitz, Florian David;Jesus liebt mich;DVD;TT.KT.15;297;42
1137257;Pantermüller, Alice;Wie belämmert ist das denn?;Buch;JE;297;30
1181811;Crombie, Deborah;Wer Blut vergießt;Buch;DR.D;297;27
0703470;Chapman, Linda;Lauras Zauberritt;Buch;JE.NP;297;29
0931757;Rossmann, Eva;Russen kommen;Buch;DR.D;297;62
0937878;Knister;Pferde;Buch;JE.CS;297;33
1065995;Stone, Rex;Jagd auf den Compsognathus;Buch;JM;296;29
1168112;Fitzek, Sebastian;¬Der¬ Nachtwandler;Buch;DR.E;296;34
1180521;Chapman, Linda;Zauberhaftes Winterfest;Buch;JE.NP;296;30
1140608;Collins, Suzanne;¬The¬ hunger games;DVD;TT.JM;296;43
1173773;Williams, John;Stoner;Buch;DR;296;20
1176604;Mongredien, Sue;¬Die¬ Rache der Schwarzen Königin;Buch;JM;296;22
1140696;Blade, Adam;Pantrax, Pranken der Hölle;Buch;JM;296;26
1188283;Cotterill, Colin;¬Der¬ Tote trägt Hut;Buch;DR.D;296;28
1194903;Blade, Adam;Kryos, der Eiskrieger;Buch;JM;295;26
1218536;Könnecke, Ole;¬Das¬ große Bilderbuch der ganzen Welt;Buch;JD.K;295;40
1081210;Markaris, Petros;Faule Kredite;Buch;DR.D;295;48
0989236;Link, Charlotte;¬Das¬ andere Kind;Buch;DR.D;295;56
1185077;Camilleri, Andrea;¬Ein¬ Samstag unter Freunden;Buch;DR;295;33
1181787;Barta, Bernhard;Sissis Tod;Buch;DR.D;295;34
1130210;Child, Lee;Underground;Buch;DR.E;295;45
