MEDIENNR;VERFASSERIN;TITEL;MEDIENGRUPPE;SYSTEMATIK;ANZAHL_AUSLEIHEN;ANZAHL_TITEL
1103313;French, Nicci;Blauer Montag;Buch;DR.E;278;39
1112891;Saan, Anita ¬van¬;Von Mamas und Papas;Buch;JD.JN;278;84
1169357;Birck, Bengt;Kleiner Hund in großer Gefahr;Buch;JE.C;278;22
0965006;Wich, Henriette;Gefährliche Fracht;Buch;JE.D;278;25
1160418;Scheffler, Ursel;Kugelblitz und die Buchstaben-Detektive;Buch;JE.DR;278;39
0768916;Knister;Hexe Lilli im Land der Dinosaurier;Buch;JM.H;277;45
0010391;Nordqvist, Sven;Aufruhr im Gemüsebeet;Buch;JD.R;277;34
1196656;Vahle, Fredrik;Durch den Wald;Compact Disc;CD.JD.L;277;39
0939558;Berner, Rotraut Susanne;Rotraut Susanne Berners Nacht-Wimmelbuch;Buch;JD.R;277;37
1058500;Rossbacher, Claudia;Steirerblut;Buch;DR.D;277;33
0937315;Paolini, Christopher;¬Die¬ Weisheit des Feuers;Buch;JM.F;277;51
1232304;Patterson, James;¬Die¬ 11. Stunde;Buch;DR.E;277;39
1216584;Kepler, Lars;¬Der¬ Sandmann;Buch;DR.E;276;27
1115236;Stone, Rex;¬Die¬ Rettung des Plateosaurus;Buch;JM;276;27
1130300;Clark, Mary Higgins;Mein Auge ruht auf dir;Buch;DR.E;276;43
1088259;Seltmann, Christian;Paul - plötzlich Vampir!;Buch;JM.C;276;27
0514070;Nöstlinger, Christine;Mini und Mauz;Buch;JE.C;276;30
1087660;Clare, Cassandra;City of fallen angels;Buch;DR.JF;275;24
1212715;Palm, Kurt;Bringt mir die Nudel von Gioachino Rossini;Buch;DR;275;40
1055500;Falk, Rita;Winterkartoffelknödel;Buch;DR.D;275;27
0986234;Hagemann, Bernhard;Detektiv Leon stellt eine Falle;Buch;JE.C;275;28
0449099;Knister;Hexe Lilli und das Geheimnis der versunkenen Welt;Buch;JM.H;275;41
1196919;Gablé, Rebecca;¬Das¬ Haupt der Welt;Buch;DR.H;275;24
1198616;Polley, Sarah;Take this waltz;DVD;TT.KT.04;274;41
1118252;Thilo;Ägypten;Buch;JE.CM;274;40
0987968;Brown, Dan;¬Das¬ verlorene Symbol;Buch;DR.E;274;60
1188152;Martin, George R. R.;¬Das¬ Urteil der Sieben;Buch;DR.F;274;30
1138422;Morton, Kate;¬Die¬ verlorenen Spuren;Buch;DR.G;274;40
0920233;Finsterbusch, Monika;Prinzessin Lillifee und der kleine Delfin;Buch;JD.R;274;23
1186510;Cotterill, Colin;¬Der¬ fröhliche Frauenhasser;Buch;DR.D;274;32
1161581;Juul, Jesper;Aggression;Buch;PI.EP;274;31
1018620;Hoßfeld, Dagmar;Conni, Billi und die Mädchenbande;Buch;JE;274;29
0794509;Ondracek, Claudia;Rettung für Flöckchen;Buch;JE.C;274;25
1193178;Widmark, Martin;¬Das¬ Krankenhausgeheimnis;Buch;JE.D;273;33
1166823;Chidolue, Dagmar;Millie in Tirol;Buch;JE;273;39
1115786;Widmark, Martin;¬Das¬ Bibliotheksgeheimnis;Buch;JE.D;273;36
1010730;Fröhlich, Anja;Müssen wir? Eine kleine Klogeschichte;Buch;JD.N;273;40
1195191;McCreight, Kimberly;¬Die¬ letzte Wahrheit;Buch;DR.E;273;26
1192812;Kosinski, Joseph;Oblivion;DVD;TT.KT.07;272;38
1213483;Clancy, Tom;Gefahrenzone;Buch;DR.E;272;29
1139089;Lütje, Susanne;¬Der¬ richtige Riecher;Buch;JM.C;272;27
1162801;Poznanski, Ursula;Blinde Vögel;Buch;DR.E;272;40
0682458;Osborne, Mary Pope;¬Den¬ Gorillas auf der Spur;Buch;JM;272;25
1186880;Gstrein, Norbert;¬Eine¬ Ahnung vom Anfang;Buch;DR;272;34
1225486;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss bei den Indianern;Buch;JM;272;41
